"ID","Malt","PPG","PotentialSG","Manufacturer","Moisture","ExtractLKG","ExtractPercent","ColourEBCIMin","ColourEBCIMax","ColourEBCEMin","ColourEBCEMax","ColourLovibondMin","ColourLovibondMax","Nitrogen","Protien","RatioSNRMin","RatioSNRMax","RatioKIMin","RatioKIMax","RatioSTMin","RatioSTMax","IDP","EDPWK","ADPLinter","Max","Characteristics","Usage"
"187","Goldpils Vienna","37","1.037","2","3.5","0","78","0","0","0","0","3.5","3.5","0","12","0","0","35","35","35","35","0","0","80","100","Rich malty, hint of biscuity notes ? Superb example of this classic malt style; finishes exceptionally clean, contributes light golden color","Up to 100% Vienna and Oktoberfest/Marzen beer styles. Ales and rich, full flavored dark beers. 10% or more All but the lightest beer styles for additional flavor. Especially helpful for developing warm, malty and light biscuity flavors. 10-15% High gravity beers like a Bock Beer, more in low gravity beers."
"188","Pale Ale","37","1.037","2","4","0","78.5","0","0","0","0","3.5","3.5","0","11.7","0","0","42","42","42","42","0","0","85","100","Rich malty, hints of biscuit and nuts ? Fully modified, high extract, low protein malt; proprietary process develops unique flavor","Up to 100% Ales (an exception being Koelsch) and rich, full flavored dark beers. 10% or more All but the lightest beer styles for additional flavor. Especially helpful for developing warm, malty and toasty flavors. 10-15% High gravity beers like a Bock Beer, more in low gravity beers."
"189","Ashburne Mild","36","1.036","2","3.5","0","77","0","0","0","0","5.3","5.3","0","11.7","0","0","40","40","40","40","0","0","65","50","Slightly malty and sweet, subtle toasty note ? Use as base or high percentage specialty malt; lends higher residual maltiness/mouthfeel","10-25% Any style needing an enhanced malty flavor and aroma. Up to 50% Bock/ Doppelbock style beers for an exaggerated maltiness"
"190","Bonlander Munich 10L","35","1.035","2","3.3","0","78","0","0","0","0","10","10","0","11.7","0","0","38","38","38","38","0","0","40","50","Clean, slightly sweet, rich malty ? European-style Munich Malt with clean, malty flavor; golden amber leaning toward orange hues","10-20% Any beer that benefits from enhanced malty flavor. Up to 50% Bock-style beers"
"191","Aromatic Munich 20L","33","1.033","2","2.5","0","77","0","0","0","0","20","20","0","11.7","0","0","36","36","36","36","0","0","20","50","Very smooth, clean, slightly sweet, rich intense malty ? European-style dark Munich Malt with clean, intense malty flavor","5-15% Any style needing an enhanced malty flavor and aroma. Up to 50% Bock/Doppelbock style beers for an exaggerated matiness"
"192","CaraPils","33","1.033","2","6.5","0","75","0","0","0","0","1.5","1.5","0","0","0","0","0","0","0","0","0","0","0","5","No flavor or color contribution ? Very unique dextrine-style malt adds body, foam retention and stability; full glassy",""
"193","CaraPils Copper","33","1.033","2","5.5","0","75","0","0","0","0","30","30","0","0","0","0","0","0","0","0","0","0","0","30","Malty, graham cracker, toasty ? Unique dextrine-style malt adds body, foam retention, beer stability, color and flavor","10% adds copper/orange hues. 20% reddish color. 30% is solidly a red ale"
"194","Victory","34","1.034","2","2.5","0","75","0","0","0","0","28","28","0","0","0","0","0","0","0","0","0","0","0","25","Toasty, biscuity, baking bread, nutty, clean ? Biscuit-style malt; well suited for ales and lagers alike; deep golden to brown hues","2-8% Doppelbock, Mild Ales. 5-15 Amber ales and lagers, Brown Ales. 5-25% Scotch ales and other dark beers"
"195","Special Roast","33","1.033","2","2.5","0","72","0","0","0","0","40","40","0","0","0","0","0","0","0","0","0","0","0","10","Toasty, biscuity, bran flakes, sourdough, tangy ? Biscuit-style malt; proprietary process develops distinguishing sourdough/tangy flavor","5-10% Excellent in IPA, ESB, Amber, Nut Brown Ale, Porter and other dark beer styles"
"196","Extra Special Malt","34","1.034","2","0","0","73","0","0","0","0","130","130","0","0","0","0","0","0","0","0","0","0","0","15","Toasted marshmallow, toast, mild coffee, prunes, dry, woody ? Hybrid drum roasted malt; has both caramel and dry roasted flavors","Up to 5% Background notes of toasted marshmallow, toast, mild coffee, prunes, dry, woody. 5 - 10% Red to amber color with pleasant toffee aroma notes. Belgian ales, English ales for complexity, porters. 10 - 15% Develops a much deeper reddish/brown color with fuller malty body and more pronounce raisin/toasty
aroma. Dopplebocks."
"197","Rye","35","1.035","2","4.5","0","84","0","0","0","0","3.7","3.7","0","10","0","0","50","50","50","50","0","0","105","35","Spicy rye ? Use in rye beers or to build flavor or add interest to other styles; use in 5% increments until desired flavor is achieved","1-3% Adds dryness and a touch of spicy rye flavor and interest to many beer styles, from medium flavored lagers to dark ales. 5% Rye Pale Ales, Wheat and Smoked Beers. 10-35% Roggenbier (German Rye Beer), American Rye Beer"
"198","Smoked, Apple Wood","37","1.037","2","6","0","80.5","0","0","0","0","6","6","0","11","0","0","45","45","45","45","0","0","110","60","Pronounced smoke, applewood, sweet, smooth ? Smooth smoke aromas","5-10% Noticeable smoke character in lighter styles such as Scottish Ales and Oktoberfests. 10-20% Pronounced smoke character in lighter styles like Scottish Ales and Oktoberfests. 30-60% Noticeable to pronounced smoke character in darker styles like Stouts and Porters. Briess Smoked Malt delivers intense smoked flavor. We recommend limiting usage to 60% of the grist."
"199","Smoked, Cherry Wood","37","1.037","2","6","0","80.5","0","0","0","0","5","5","0","11","0","0","45","45","45","45","0","0","110","60","Pronounced smoke, subtle fruity, malty sweet, smooth, clean ? Sweeter than Mesquite Smoked Malt; pleasant smoke aroma","5-10% Noticeable smoke character in lighter styles such as Scottish Ales and Oktoberfests. 10-20% Pronounced smoke character in lighter styles like Scottish Ales and Oktoberfests. 30-60% Noticeable to pronounced smoke character in darker styles like Stouts and Porters. Briess Smoked Malt delivers intense smoked flavor. We recommend limiting usage to 60% of the grist."
"200","Smoked, Mesquite","37","1.037","2","6","0","80.5","0","0","0","0","5","5","0","11","0","0","45","45","45","45","0","0","110","60","Pronounced smoke, upfront earthy mesquite, smooth, slightly sweet ? Less sweet than Cherry Wood Smoked Malt; smooth smoke aroma","5-10% Noticeable smoke character in lighter styles such as Scottish Ales and Oktoberfests. 10-20% Pronounced smoke character in lighter styles like Scottish Ales and Oktoberfests. 30-60% Noticeable to pronounced smoke character in darker styles like Stouts and Porters. Briess Smoked Malt delivers intense smoked flavor. We recommend limiting usage to 60% of the grist."
"201","Caramel 10L","34","1.034","2","7","0","77","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","15","Candy-like sweetness, mild caramel ? Drum roasted, crystallized malt; improves foam; enhances viscosity; contributes golden hues","3-7% For balance in Pilsners. 5-10% California Common Beer, Doppelbocks and Dark Lagers. 5-15% Vienna, Marzen and Oktoberfest. 10-15% Bitter Ales, Pale Ales, Mild Ales, Strong Ales and Belgian Ales. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"202","Caramel 20L","34","1.034","2","6","0","77","0","0","0","0","20","20","0","0","0","0","0","0","0","0","0","0","0","15","Candy-like sweetness, mild caramel ? Drum roasted, crystallized malt; improves foam; enhances viscosity; contributes golden hues","3-7% For balance in Pilsners. 5-10% California Common Beer, Doppelbocks and Dark Lagers. 5-15% Vienna, Marzen and Oktoberfest. 10-15% Bitter Ales, Pale Ales, Mild Ales, Strong Ales and Belgian Ales. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"203","Caramel 30L","34","1.034","2","5.5","0","77","0","0","0","0","30","30","0","0","0","0","0","0","0","0","0","0","0","15","Sweet, caramel, toffee ? Drum roasted, crystallized malt; improves foam; enhances viscosity; golden hues","3-7% For balance in Pilsners. 5-10% California Common Beer, Doppelbocks and Dark Lagers. 5-15% Vienna, Marzen and Oktoberfest. 10-15% Bitter Ales, Pale Ales, Mild Ales, Strong Ales and Belgian Ales. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"204","Caramel 40L","34","1.034","2","5.5","0","77","0","0","0","0","40","40","0","0","0","0","0","0","0","0","0","0","0","15","Sweet, caramel, toffee ? Drum roasted, crystallized malt; improves foam; enhances viscosity; golden hues","3-7% For balance in Pilsners. 5-10% California Common Beer, Doppelbocks and Dark Lagers. 5-15% Vienna, Marzen and Oktoberfest. 10-15% Bitter Ales, Pale Ales, Mild Ales, Strong Ales and Belgian Ales. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"205","Caramel 60L","34","1.034","2","5","0","77","0","0","0","0","60","60","0","0","0","0","0","0","0","0","0","0","0","15","Sweet, pronounced caramel ? Drum roasted, crystallized malt; improves foam; enhances viscosity; deep golden to red hues","1-3% For balance in Pilsners. 5-10% California Common Beer, Vienna, Marzen and Oktoberfest. 5-15% Doppelbocks, Dark Lagers and Barley Wine. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"206","Caramel 80L","34","1.034","2","4.5","0","76","0","0","0","0","80","80","0","0","0","0","0","0","0","0","0","0","0","15","Pronounced caramel, slight burnt sugar, raisiny ? Drum roasted, crystallized malt; improves foam; enhances viscosity; red to deep red hues","1-3% For balance in Pilsners. 5-10% California Common Beer, Vienna, Marzen and Oktoberfest. 5-15% Doppelbocks, Dark Lagers and Barley Wine. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"207","Caramel 90L","33","1.033","2","4","0","75","0","0","0","0","90","90","0","0","0","0","0","0","0","0","0","0","0","15","Pronounced caramel, burnt sugar, raisiny, prunes ? Drum roasted, crystallized malt; improves foam; enhances viscosity; red to deep red hues","1-3% For balance in Pilsners. 5-10% California Common Beer, Vienna, Marzen and Oktoberfest. 5-15% Doppelbocks, Dark Lagers and Barley Wine. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"208","Caramel 120L","32","1.032","2","3","0","76","0","0","0","0","120","120","0","0","0","0","0","0","0","0","0","0","0","15","Pronounced caramel, burnt sugar, raisiny, prunes ? Drum roasted, crystallized malt; improves foam; enhances viscosity; red to deep red hues","3-7% For balance in Pilsners. 5-10% California Common Beer, Doppelbocks and Dark Lagers. 5-15% Vienna, Marzen and Oktoberfest. 10-15% Bitter Ales, Pale Ales, Mild Ales, Strong Ales and Belgian Ales. 5-15% Certain styles of Brown Ales, Scotch Ales, Stouts and Porters"
"209","Caramel Rye","32","1.032","2","5","0","80","0","0","0","0","60","60","0","0","0","0","0","0","0","0","0","0","0","20","Slightly sweet, caramel, bready, spicy rye ? Uniquely smooth and subtle yet complex rye malt; leans toward burnt orange and brown color","1-5% Adds touches of depth to lighter-flavor beers like Pilsner, Oktoberfest and Bock. 5-10% Adds complexity to malt-forward beers.. 10-20% Adds an intriguing softness and slight rye-like character. Use in all rye-style beers for toast flavor and color as well as in Scottish Ales, Doppelbock, Dunkels, Stouts, Porters and other medium to dark ales and
lagers"
"210","Caramel Vienne 20L","35","1.035","2","4.5","0","78","0","0","0","0","20","20","0","0","0","0","0","0","0","0","0","0","0","10","Soft toffee, caramel, malty ? Use in Vienna-style lagers and Belgian-style Abbey Ales","3-10% Frequently used in Vienna-style lagers and Belgian-style Abbey Ales."
"211","Caramel Munich 60L","34","1.034","2","3.5","0","77","0","0","0","0","60","60","0","0","0","0","0","0","0","0","0","0","0","0","Caramel, roasted, malty ? Use in IPAs, Pale Ales, Oktoberfest, and Porters; amber to red hues","IPA, Pale Ale, Oktoberfest and Porters"
"212","Caracrystal Wheat","34","1.034","2","4","0","78","0","0","0","0","55","55","0","0","0","0","0","0","0","0","0","0","0","25","Sweet, smooth, malty, bready, subtle caramel, dark toast, exceptionally clean finish ? Foam and foam retention; orange to mahogany hues","5-10% Subtle sweetness and flavor with pale orange tones. 10-15% Mild sweetness and flavor plus orange tones. 15-25% More pronounced flavor with dark orange to mahogany tones"
"213","Carabrown","34","1.034","2","2.2","0","79","0","0","0","0","55","55","0","0","0","0","0","0","0","0","0","0","0","25","Smooth, slightly sweet malty, lightly toasted, biscuity, nutty, graham cracker, clean dry finish ? Light brown to orange hues","5-10% Subtle sweet malty, lightly toasted flavors and light brown/orange color contributions. 10-15% Smooth, more accentuated toasted, biscuity, nutty, graham cracker flavors and slightly dry finish. 15-25% More pronounced yet smooth toasted, biscuity, nutty, graham cracker flavors and slightly dry finish"
"214","Chocolate","35","1.035","2","5.5","0","0","0","0","0","0","350","350","0","0","0","0","0","0","0","0","0","0","0","10","Rich roasted coffee, cocoa ? Brown hues; use in all styles for color","1-10% Porters, Stouts, Brown Ales, Dunkel and other dark beers"
"215","Dark Chocolate","33","1.033","2","5.5","0","0","0","0","0","0","420","420","0","0","0","0","0","0","0","0","0","0","0","10","Rich smooth coffee ? Brown hues; use in all styles for color","1-10% Porters, Stouts, Brown Ales, Dunkel and other dark beers"
"216","Black","32","1.032","2","6","0","0","0","0","0","0","500","500","0","0","0","0","0","0","0","0","0","0","0","10","Dry roasted, sharp to neutral ? Use in dark beers for flavor; use in all styles for color with little flavor; has little impact on foam color","1-3% All styles for color with little or no flavor. 1-10% Porter and Stout"
"217","Black Malted Barley Flour","32","1.032","2","6","0","0","0","0","0","0","500","500","0","0","0","0","0","0","0","0","0","0","0","10","Dry roasted, sharp to neutral ? Use in dark beers for flavor; use in all styles for color with little flavor; has little impact on foam color","1-3% All styles for color with little or no flavor. 1-10% Porter and Stout"
"218","Blackprinz","33","1.033","2","6","0","0","0","0","0","0","500","500","0","0","0","0","0","0","0","0","0","0","0","10","Subtle, smooth, no bitter, astringent, dry flavors or aftertaste, very delicate, clean flavor, mild roasted malty flavor","1-2% Minor color adjustment with little to no flavor impact in lighter colored lagers and ales. 2-5% Adds color with subtle, smooth flavor. 5-10% Use in larger quantities for color plus mild roasted malty flavor"
"219","Midnight Wheat","33","1.033","2","6.5","0","0","0","0","0","0","550","550","0","0","0","0","0","0","0","0","0","0","0","7","Subtle, smooth, no bitter, astringent, dry flavors or aftertaste, starts slightly sweet, hints of roasted flavor, finishes exceptionally clean","1-2% Minor color adjustment with little to no flavor impact in lighter colored lagers and ales. 2-5% Adds color with subtle, very smooth flavor. 5-7% Use in larger quantities for color plus hints of smooth roasted flavor"
"220","Roasted Barley","33","1.033","2","5","0","0","0","0","0","0","300","300","0","0","0","0","0","0","0","0","0","0","0","7","Coffee, intense bitter, dry ? Provides color and rich, sharp flavor which is characteristic of Stout and some Porters; impacts foam color","3-7 % Contributes coffee flavor to Porter and Stout"
"221","Black Barley","32","1.032","2","6","0","0","0","0","0","0","500","500","0","0","0","0","0","0","0","0","0","0","0","7","Coffee, intense bitter, dry ? Provides color and rich, sharp flavor which is characteristic of Stout and some Porters; impacts foam color","3-7 % Contributes coffee flavor to Porter and Stout"
"223","Pilsen 2RS","37","1.037","3","4.5","0","80.5","0","0","4","6","1.9","2.8","0","11.5","0","0","35","45","0","0","0","250","0","100","The lightest in colour, this malt is well-modified and is perfectly suited for single-step infusion or for decoction mashing. Our Ch?teau Pilsen malt carries a strong, sweet malt flavour and has a sufficient enzymatic power to be used as base malt.","All beer types. Can be used up to 100 % for pale beers (Pilsner, Lager) or as part of the mix for the other beers."
"224","Pilsen 6RS","37","1.037","3","4.5","0","80","0","0","6","6","2.7","2.7","0","11.5","0","0","36","45","0","0","0","300","0","50","The lightest in colour, this malt is well-modified and is perfectly suited for single-step infusion or for decoction mashing. Compared to Ch?teau Pilsen 2RS, Ch?teau Pilsen 6RW has a more important diastatic power. Our Ch?teau Pilsen malt carries a strong, sweet malt flavour and has a sufficient enzymatic power to be used as base malt.","All beer types. Can be used at up to 50% together with Pilsen 2RS for pale beers (Pilsner, Lager) or as part of the mix for the other beers."
"225","Vienna","37","1.037","3","4.5","0","80","0","0","4","7","2.1","3.2","0","11.5","0","0","37","45","0","0","0","0","0","100","Imparts a richer flavour of malt and grain than Pilsen malt and adds subtle aromas of caramel and toffee. Ch?teau Vienna malt is kilned at slightly higher temperatures than Pilsen Malt. As a result Ch?teau Vienna malt gives a deeper golden colour to the beer increasing at the same time its body and fullness. Due to the higher kilning temperature, the enzyme activity of Ch?teau Vienna malt is slightly lower than that of Pilsen Malt. Nevertheless, our Ch?teau Vienna malt has a sufficient enzymatic activity to be used in combination with large proportion of specialty malts.","All beer styles, Vienna lager. To enhance colour and aroma of light beers. Up to 100% of the mix."
"226","Pale Ale","37","1.037","3","4.5","0","80","0","0","7","10","3.2","4.3","0","11.5","0","0","38","45","0","0","0","250","0","80","Usually used as a base malt or in combination with Pilsen 2RS malt to impart a richer malt flavour and additional colour. Being deeper in colour, this malt can add a golden hue to the wort. It is used with strong yeasts to produce amber and bitter beers. Ch?teau Pale Ale malt is kilned longer and is usually better modified, providing a more pronounced flavour than Pilsen 2RS. The enzymatic activity of Ch?teau Pale Ale malt is sufficient when used with large proportion of non-enzymatic specialty malts.","Pale ale styles and bitter beers, most traditional English beer styles. Up to 80% of the mix."
"227","Munich Light","37","1.037","3","0","0","0","0","0","13","17","5.4","6.9","0","0","0","0","38","46","0","0","0","150","0","60","Rich, golden malt. Provides a modest colour increase toward a nice, golden-orange colour. Adds a pronounced grainy malty flavour to many beer styles without affecting the foam stability and body. Is also used in small quantities in combination with Ch?teau Pilsen 2RS to produce light colour beers, improving the malty flavour and giving the beer a richer colour. Enhances the taste of character beers.","Pale ale, amber, brown, strong and dark beers, bocks. Up to 60% of the mix."
"228","Munich","37","1.037","3","0","0","0","0","0","21","28","8.4","11.1","0","11.5","0","0","0","0","0","0","0","0","0","60","Rich, golden malt. Provides a modest colour increase toward a nice, golden-orange colour. Adds a pronounced grainy malty flavour to many beer styles without affecting the foam stability and body. Is also used in small quantities in combination with Ch?teau Pilsen 2RS to produce light colour beers, improving the malty flavour and giving the beer a richer colour. Enhances the taste of character beers.","Pale ale, amber, brown, strong and dark beers, bocks. Up to 60% of the mix."
"229","Melano Light","36","1.036","3","0","0","79","0","0","36","44","14.1","17.1","0","0","0","0","0","0","0","0","0","0","0","20","Very aromatic, with intense malty flavour. Gives fullness and roundness to the beer colour, improves flavour stability and promotes red colour in your beer. Gives beer fuller body. This specialty variety has been described as ?turbo Munich?.","Amber and dark beers, Scottish type and red coloured beers like Scottish ales, amber ales, red ales, and Irish ales. Up to 20% of the mix."
"230","Melano","36","1.036","3","0","0","78","0","0","75","85","28.7","32.4","0","0","0","0","0","0","0","0","0","0","0","20","Very aromatic, with intense malty flavour. Gives fullness and roundness to the beer colour, improves flavour stability and promotes red colour in your beer. Gives beer fuller body. This specialty variety has been described as ?turbo Munich?.","Amber and dark beers, Scottish type and red coloured beers like Scottish ales, amber ales, red ales, and Irish ales.Up to 20% of the mix."
"231","Abbey","36","1.036","3","0","0","0","0","0","41","49","15.9","18.9","0","0","0","0","0","0","0","0","0","0","0","25","Ch?teau Abbey? malt is a more toasted form of pale malt. Gives a strong taste of cooked bread, nuts and fruit. Ch?teau Abbey? malt has a bitter flavour which mellows on ageing, and can be quite intensely flavoured. Ch?teau Abbey? malt is typically used as a small proportion of the grist in the production of beers requiring some substantial depth of colour.","Pale ale beers, Abbey beers,brown porter and special beers, in a diverse range of British beers.Up to 25% of the mix."
"232","Biscuit","35","1.035","3","4.7","0","77","0","0","45","55","17.4","21.2","0","0","0","0","0","0","0","0","0","0","0","25","Ch?teau Biscuit? malt produces a very pronounced ""toasty"" finish in the beer. Imparts a warm bread and biscuit-like aroma and flavour. Promotes a light to medium warm brown colour of the mash. This malt is used to improve the roasted flavour and aroma that characterize ales and lagers lending the subtle properties of black and chocolate malts. No enzymes. Must be mashed with malts having a surplus of diastatic power.","All special beers and as well for English ales, brown ales and porters. Up to 25% of the mix.
All special beers and as well for English ales, brown ales and porters. Up to 25% of the mix."
"233","CaraClair","36","1.036","3","8.5","0","78","0","0","8","8","3.56","3.56","0","11.5","0","0","0","0","0","0","0","0","0","30","Ch?teau Cara Clair is a type of Belgian caramel malt. Intensifies the beer?s body and its smoothness, promotes head formation and retention. Creates soft biscuit notes in the beer aroma.","Pilsner Lager, alcohol-reduced beer, light beer, Bock beer. Up to 30% of the mix."
"234","CaraBlonde","36","1.036","3","8.5","0","78","0","0","17","24","6.9","9.6","0","11.5","0","0","0","0","0","0","0","0","0","30","Ch?teau Cara Blond? imparts a mild caramel-sweet aroma adding golden colour to beer. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head, head retention, and extended beer stability.","Light lagers, light ales, with little or no alcohol, white beers. Up to 30% of the mix."
"235","CaraRuby","35","1.035","3","8","0","78","0","0","45","55","17.4","21.1","0","0","0","0","0","0","0","0","0","0","0","25","Ch?teau Cara Ruby? malt imparts a rich caramel-sweet aroma and a toffee-like flavour, adding light amber to reddish colour to beer. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head, head retention, and extended beer stability.","Brown Ales, Brune des Flandres, Bock, Scottish Ales. Up to 25% of the mix."
"236","CaraGold","36","1.036","3","8","0","78","0","0","110","130","41.8","49.3","0","0","0","0","0","0","0","0","0","0","0","20","Ch?teau Cara Gold? malt imparts a strong caramel-sweet aroma and unique toffee-like and brown sugar flavour, adding a rich amber colour to beer. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head, head retention, and extended beer stability.","Brown and dark beers. Up to 20% of the mix."
"237","CaraArome","36","1.036","3","4.5","0","78","0","0","95","105","36.2","39.6","0","0","0","0","0","0","0","0","0","0","0","20","Ch?teau Ar?me malt provides a rich malty aroma and flavour to amber and dark lager beers. Compared to other traditional coloured malts, Ch?teau Ar?me has a higher diastatic power and imparts a smoother bitterness.","Special very aromatic beers. Up to 20% of the mix."
"238","Crystal","36","1.036","3","4.5","0","78","0","0","142","158","53.8","59.8","0","0","0","0","0","0","0","0","0","0","0","20","This caramel-copper coloured malt provides a rich malt flavour and aroma to amber and dark lager beers. Compared to other traditional coloured malts, Ch?teau Crystal? has an even stronger diastatic power and imparts a smoother bitterness.","Aromatic and coloured beers. Perfect for any beer in which high profile malt is required. Excellent choice for Belgian ales and German bock beer styles. Up to 20% of the mix."
"239","Caf? Light","35","1.035","3","4.5","0","77","0","0","220","280","83.1","105.6","0","0","0","0","0","0","0","0","0","0","0","10","Ch?teau Caf? Light? malt imparts a nutty and light to reach coffee flavour and aroma to beers, brings in a ""coffee"" note in Stouts and Porters. Adds a smooth mouthfeel and complexity to any dark ale. Reinforces the colour of the beer.","Stouts, porters, Scottish ale, dark Belgian style beer, slightly in brown ales for hints of fresh roasted coffee. Up to 10% of the mix."
"240","Caf?","35","1.035","3","4.5","0","75.5","0","0","420","520","158.1","195.6","0","0","0","0","0","0","0","0","0","0","0","10","Ch?teau Caf? malt imparts a nutty and light to reach coffee flavour and aroma to beers, brings in a ""coffee"" note in Stouts and Porters. Adds a smooth mouth feel and complexity to any dark ale. Reinforces the colour of the beer.","Stouts, porters, Scottish ale, dark Belgian style beer, slightly in brown ales for hints of fresh roasted coffee; Up to 10% of the mix"
"241","Special B","35","1.035","3","6","0","77","0","0","260","320","98","0","0","0","0","0","0","0","0","0","0","0","0","10","Is used to produce a deep red to dark brown-black colour and fuller body. Unique flavour and aroma. Gives much colour and raisin-like flavour. Imparts a rich malty taste and a hint of nut and plum flavour. May substitute Chocolate and Black malt if bitterness is not desired.","Abbey ales, dubbels, porters, brown ales, doppelbocks. Up to 10% of the mix."
"242","Chocolat","35","1.035","3","4.5","0","75","0","0","800","1000","300.6","375.6","0","0","0","0","0","0","0","0","0","0","0","7","Ch?teau Chocolat malt is a highly roasted malt with a deep brown colour. This is where its name comes from. Ch?teau Chocolat malt is used to adjust the colour of beer and imparts a nutty, toasted flavour. Ch?teau Chocolat malt shares many of the characteristics of Black Malt but provides a less bitter flavour than Black malt and is lighter than Black, because it is roasted for a slightly shorter period of time and the end temperatures are not so high.","Brown, strong, darker and black beers, such as porters, stouts and brown ales. Up to 7% of the mix."
"243","Black","34","1.034","3","4.5","0","73.5","0","0","1200","1450","450.6","544.3","0","0","0","0","0","0","0","0","0","0","0","6","Enhances the aroma of character beers by producing a more stringent flavour than other coloured malts. Imparts a slight burnt or smoky flavour.","Very coloured beers, stouts and porters. 3-6% of the mix."
"244","Black of Black","33","1.033","3","5","0","72","0","0","400","600","150.6","225.6","0","0","0","0","0","0","0","0","0","0","0","5","This very special roasted malt offers a great advantage: Ch?teau Black Of Black gives the beer the flavour and aroma typical of the traditional Black malt without intensifying the beer?s colour. Imparts well-balanced and agreeable roasted notes to the finished beer. Now you can brew an amber-coloured beer with a more pronounced roasted character, which had not been possible until Castle Malting? created its unique technology for producing Ch?teau Black Of Black","From amber to very coloured beers, Stouts and Porters. Recommended max. proportion: 5% of the mix."
"245","Roasted Barley","30","1.03","3","45","0","65","0","0","1000","1400","375.6","525.6","0","0","0","0","0","0","0","0","0","0","0","0","Ch?teau Roasted Barley is a highly roasted barley that imparts a burnt, grainy, coffee-like flavor to your beer. It has many characteristics of Ch?teau Black malt, though it is far more complex. It actually has some starch that can be converted during the mash, thus impacting the specific gravity. Ch?teau Roasted Barley will also lend to the sweetness to the beer. If compared to Ch?teau Chocolat and Ch?teau Black malts, roasted barley produces the lightest colored head. Imparts a deep red mahogany color to beer and very strong roasted flavor. Gives dryness to Porters and Stouts.","Stouts, Porters, Nut Brown Ales and other dark beer styles"
"246","Wheat Blanc","38","1.038","3","5.5","0","83","0","0","7.5","7.5","3.4","3.4","0","14","0","0","0","0","0","0","0","0","0","35","Enhances the peculiar taste of wheat beers. Ch?teau Wheat Blanc malt is essential in making wheat beers but is also used in barley malt-based beers (3?5%) thanks to its protein level that gives the beer a fuller mouthfeel and enhanced head stability. Wheat has no outer husk and therefore has fewer tannins than barley. Wheat malt is much stickier than barley malt due to the higher protein content and may cause lautering problems if not given a ""Protein Rest"" during the mash.","Wheat beers, white, light beers, beers with low or no alcohol. Recommended max. proportion: up to 35% of the mix"
"247","Wheat Munich Light","39","1.039","3","5","0","84","0","0","14","18","5.8","7.3","0","14","0","0","38","38","0","0","0","0","0","30","Not particularly dark in colour but richer in flavour than the standard Wheat malt. You will have a slimmer, more sparkling beer with a typical ale aroma.","Dark wheat beer styles, weizenbocks, stouts or in smaller proportions to add body and head retention to other dark ales. Up to 30% of the mix."
"248","Wheat Munich 25","39","1.039","3","5","0","83","0","0","21","28","8.4","11.1","0","14","0","0","38","38","0","0","0","0","0","30","Not particularly dark in colour but richer in flavour than the standard Wheat malt. You will have a slimmer, more sparkling beer with a typical ale aroma.","Dark wheat beer styles, weizenbocks, stouts or in smaller proportions to add body and head retention to other dark ales. Up to 30% of the mix."
"249","Wheat Crystal","36","1.036","3","6.5","0","82","0","0","140","160","53.1","60.6","0","13.5","0","0","0","0","0","0","0","0","0","20","Ch?teau Wheat Crystal imparts to the beer a rich character of cooked wheat, corn flakes and a slight aroma of coffee. Increasing the coloration, our new malt will highlight the aromatic notes of baked bread and biscuit in your beer. The beer will have a golden to light amber colour and a light to medium body.","Belgian Witbier; Hefeweizen; Kristallweizen, Dunkelweizens, Weizenbock; Up to 20% of the mix."
"250","Wheat Chocolat","33","1.033","3","4.5","0","77","0","0","800","1100","0","0","0","0","0","0","0","0","0","0","0","0","0","20","Ch?teau Wheat Chocolate malt is a highly roasted malt, though not as high as black malt. With the help of this malt a deep brown colour with hints of black coffee and bittersweet chocolate flavour can be achieved in beer. The wheat version of Chocolate malt has a more pronounced dark chocolate character compared to its barley counterpart. This malt adds colour and flavour to a wide variety of dark beer styles and is used to smooth out certain English-style dark beers, such as stouts, porters, or brown ales. Ch?teau Wheat Chocolate is husk free and was especially developed by Castle Malting to avoid astringency, bitterness and dry flavour or aftertaste in beers. This malt can replace in a proportion of 1:1 the de-husked* chocolate malt, imparting a smoother flavour.","English-style dark beers, stouts, porters, or brown ales. Up to 20% of the mix."
